distance,duration,departure_hour,weather_risk,traffic,delay
11476,977,0,0.74,0.24,1
2679,539,2,0.59,0.03,1
4811,678,19,0.03,0.2,0
9928,1018,7,0.45,0.28,0
13432,1148,22,0.42,0.28,1
13509,1245,3,0.09,0.1,0
10891,1011,1,0.73,0.54,0
7201,640,17,0.29,0.63,0
6925,874,6,0.7,0.05,0
5741,530,7,0.87,0.38,1
6977,666,11,0.36,0.67,0
12199,1010,19,0.63,0.53,1
8573,896,8,0.99,0.64,1
12216,1142,1,0.23,0.03,0
5386,496,6,0.91,0.57,0
4483,651,12,0.88,0.64,1
3287,432,23,0.56,0.26,0
10560,1056,11,0.22,1.0,0
2489,270,3,0.15,0.16,0
10771,899,12,0.38,1.0,0
10064,819,21,0.72,0.68,0
5371,636,3,0.29,0.16,1
12830,1156,16,0.76,0.51,1
11244,1055,20,0.51,0.2,0
3646,609,16,0.92,0.6,0
2832,457,9,0.24,0.24,0
2290,274,23,0.49,0.07,0
13547,1140,4,0.66,0.95,1
9645,999,6,0.93,0.76,0
12680,1170,12,1.0,0.65,1
9479,1001,3,0.25,0.06,1
10075,932,18,0.22,0.07,0
4750,450,1,0.86,0.07,1
11960,1205,6,0.54,0.72,0
10440,1085,7,0.78,0.81,1
2588,474,11,0.42,0.47,0
12032,1012,1,0.4,0.34,0
5073,538,6,0.54,0.14,0
8579,830,2,0.44,0.86,0
1828,473,0,0.97,0.93,0
3724,547,15,0.48,0.86,0
3697,531,0,0.99,0.27,0
8454,840,13,0.7,0.73,0
11844,1197,4,0.19,0.22,1
13054,1316,1,0.75,0.06,0
9238,1023,5,0.06,0.51,0
2122,253,21,0.86,0.4,0
10333,960,18,0.59,0.62,0
10562,1141,16,0.32,0.26,0
6147,643,8,0.4,0.67,0
6180,560,0,0.46,1.0,0
2200,500,6,0.51,0.13,0
2127,344,11,0.28,0.44,0
5956,776,0,0.67,0.55,0
2697,330,8,0.12,0.11,0
5462,613,19,0.21,0.34,0
5325,717,15,0.25,0.91,1
11392,1130,8,0.04,0.33,1
5291,538,23,0.44,0.71,0
2832,310,22,0.9,0.55,0
10543,1132,4,0.43,0.04,0
1653,366,6,0.68,0.67,0
10173,1030,19,0.75,0.93,1
3662,424,13,0.02,0.74,0
7745,767,8,0.16,0.7,0
1634,422,7,0.2,0.92,1
4728,528,0,0.66,0.4,0
2137,362,11,0.64,0.4,0
9785,962,0,0.12,0.97,1
5349,480,3,0.6,0.35,0
8149,932,3,0.39,0.58,0
12612,1228,0,0.52,0.81,0
13156,1146,11,0.43,0.95,0
