source_city,destination_city,cabin_class,season,demand,days_left,distance,duration,stops,price
Dubai,New York,Economy,Low,Low,48,11000,885,Non-stop,1148.89
Dubai,London,Economy,Low,Medium,2,5500,678,1 stop,1104.44
Dubai,Singapore,Business,Low,High,45,5800,648,1 stop,2272.22
Dubai,Tokyo,Economy,Peak,Medium,52,8000,660,Non-stop,2547.41
Dubai,New York,Economy,Peak,Medium,56,11000,885,Non-stop,2879.17
Dubai,Singapore,First,Peak,High,25,5800,495,Non-stop,12381.58
Dubai,Sydney,Economy,Peak,Medium,5,12000,1100,1 stop,3411.4
Dubai,Mumbai,Economy,Low,High,4,1900,202,Non-stop,376.59
Dubai,Sydney,First,Shoulder,High,14,12000,1127,1 stop,17010.11
Dubai,Sydney,Business,Shoulder,High,28,12000,1295,2+ stops,5152.21
Dubai,New York,Business,Peak,Low,11,11000,1055,1 stop,5359.3
Dubai,Mumbai,Economy,Shoulder,High,44,1900,404,1 stop,308.74
Dubai,New York,Economy,Low,Low,47,11000,1188,2+ stops,606.3
Dubai,Singapore,Business,Shoulder,Low,24,5800,679,1 stop,2003.19
Dubai,London,Economy,Low,High,52,5500,472,Non-stop,680.41
Dubai,New York,Business,Peak,High,35,11000,1020,1 stop,8525.08
Dubai,Tokyo,First,Peak,High,45,8000,660,Non-stop,11828.48
Dubai,Delhi,Business,Shoulder,Low,5,2200,225,Non-stop,1416.7
Dubai,New York,Business,Low,Low,3,11000,1142,2+ stops,3285.6
Dubai,Los Angeles,Business,Peak,Medium,16,13400,1281,1 stop,11971.77
Dubai,Tokyo,Economy,Peak,Low,42,8000,923,2+ stops,738.47
Dubai,Sydney,Economy,Shoulder,Low,12,12000,960,Non-stop,1576.65
Dubai,Mumbai,Economy,Shoulder,Medium,1,1900,664,2+ stops,377.27
Dubai,Sydney,Business,Peak,Low,1,12000,1263,2+ stops,9110.51
Dubai,Mumbai,Economy,Shoulder,Low,14,1900,581,2+ stops,166.62
Dubai,Delhi,Economy,Peak,Low,33,2200,225,Non-stop,313.52
Dubai,Sydney,Economy,Peak,Medium,38,12000,1154,1 stop,1993.12
Dubai,Singapore,Economy,Peak,Low,26,5800,495,Non-stop,1275.07
Dubai,New York,Economy,Shoulder,Medium,7,11000,885,Non-stop,1773.92
Dubai,New York,Business,Low,Low,54,11000,1041,1 stop,3674.52
Dubai,Mumbai,Economy,Shoulder,High,9,1900,202,Non-stop,533.68
Dubai,Singapore,Economy,Peak,Low,41,5800,856,2+ stops,498.19
Dubai,Tokyo,Business,Low,Medium,9,8000,811,1 stop,3808.74
Dubai,London,Economy,Peak,Medium,10,5500,692,1 stop,1534.65
Dubai,Singapore,Economy,Peak,High,3,5800,785,2+ stops,2140.49
Dubai,Tokyo,First,Peak,High,16,8000,1134,2+ stops,8519.22
Dubai,Frankfurt,Business,Shoulder,Medium,48,4800,724,2+ stops,2523.06
Dubai,Delhi,Economy,Peak,Medium,20,2200,674,2+ stops,291.16
Dubai,Singapore,Business,Peak,Low,42,5800,696,1 stop,2656.54
Dubai,Singapore,Economy,Peak,Low,7,5800,656,1 stop,1124.35
Dubai,New York,Economy,Shoulder,Low,46,11000,1067,1 stop,1228.05
Dubai,Sydney,Economy,Low,Medium,22,12000,1159,1 stop,1232.76
Dubai,Tokyo,Economy,Shoulder,Medium,13,8000,892,1 stop,1325.75
Dubai,Singapore,Economy,Peak,Medium,14,5800,684,1 stop,1333.24
Dubai,Sydney,Economy,Peak,High,48,12000,960,Non-stop,2635.97
Dubai,Frankfurt,Economy,Peak,Low,20,4800,420,Non-stop,1117.34
Dubai,Delhi,Economy,Peak,Medium,57,2200,368,1 stop,411.5
Dubai,London,Business,Peak,High,50,5500,613,1 stop,5175.73
